顧客ID,産業,セクター
1001,ヘルスケア機器・サービス,ヘルスケア
1002,ヘルスケア機器・サービス,ヘルスケア
1003,銀行,金融
1004,ソフトウェア・サービス,情報技術
1005,保険,金融
1006,銀行,金融
1007,ヘルスケア機器・サービス,ヘルスケア
1008,テクノロジー・ハードウェア,情報技術
1009,製造業,資本財・サービス
1010,通信,電気通信サービス
1011,銀行,金融
1012,銀行,金融
1013,エネルギー,エネルギー
1014,製造業,資本財・サービス
1015,ソフトウェア・サービス,情報技術
1016,製造業,資本財・サービス
1017,エネルギー,エネルギー
1018,エネルギー,エネルギー
1019,テクノロジー・ハードウェア,情報技術
1020,保険,金融
1021,コンシューマ製品,生活必需品
1022,通信,電気通信サービス
1023,エネルギー,エネルギー
1024,エネルギー,エネルギー
1025,小売,一般消費財・サービス
1026,小売,一般消費財・サービス
1027,エネルギー,エネルギー
1028,テクノロジー・ハードウェア,情報技術
1029,ヘルスケア機器・サービス,ヘルスケア
1030,製造業,資本財・サービス
1031,エネルギー,エネルギー
1032,保険,金融
1033,ソフトウェア・サービス,情報技術
1034,エネルギー,エネルギー
1035,銀行,金融
1036,運輸,資本財・サービス
1038,ヘルスケア機器・サービス,ヘルスケア
1039,製造業,資本財・サービス
1040,銀行,金融
1041,製造業,資本財・サービス
1042,銀行,金融
1043,製造業,資本財・サービス
1044,エネルギー,エネルギー
1045,製造業,資本財・サービス
1046,製造業,資本財・サービス
1047,小売,一般消費財・サービス
1048,小売,一般消費財・サービス
1049,医薬品・バイオテクノロジー,ヘルスケア
1050,製造業,資本財・サービス
1051,テクノロジー・ハードウェア,情報技術
1052,運輸,資本財・サービス
1053,ソフトウェア・サービス,情報技術
1054,銀行,金融
1055,医薬品・バイオテクノロジー,ヘルスケア
1056,エネルギー,エネルギー
1057,小売,一般消費財・サービス
1058,エネルギー,エネルギー
1059,小売,一般消費財・サービス
1060,小売,一般消費財・サービス
1061,エネルギー,エネルギー
1062,エネルギー,エネルギー
1063,コンシューマ製品,生活必需品
1064,医薬品・バイオテクノロジー,ヘルスケア
1065,各種金融,金融
1066,ソフトウェア・サービス,情報技術
1067,コンシューマ製品,生活必需品
1068,各種金融,金融
1070,銀行,金融
1071,メディア,一般消費財・サービス
1072,ソフトウェア・サービス,情報技術
1073,コンシューマ製品,生活必需品
1074,医薬品・バイオテクノロジー,ヘルスケア
1075,コンシューマ製品,生活必需品
1076,ソフトウェア・サービス,情報技術
1077,コンシューマ製品,生活必需品
1078,銀行,金融
1079,小売,一般消費財・サービス
1080,各種金融,金融
1081,通信,電気通信サービス
1082,銀行,金融
1083,金属・鉱業,素材
1084,コンシューマ製品,生活必需品
1085,小売,一般消費財・サービス
1086,ソフトウェア・サービス,情報技術
1087,製造業,資本財・サービス
1088,コンシューマ製品,生活必需品
1089,コンシューマ製品,生活必需品
1090,運輸,資本財・サービス
1091,テクノロジー・ハードウェア,情報技術
1092,ヘルスケア機器・サービス,ヘルスケア
1093,エネルギー,エネルギー
1094,通信,電気通信サービス
1095,小売,一般消費財・サービス
1096,小売,一般消費財・サービス
1097,通信,電気通信サービス
1098,運輸,資本財・サービス
1099,銀行,金融
1100,銀行,金融
1101,銀行,金融